方位角(度),时间,X(度),Y(度)
30.000,2026-06-05 16:15:09.967,0.730,83.280
30.000,2026-06-05 16:15:10.478,0.730,83.280
30.000,2026-06-05 16:15:10.739,0.730,83.280
60.000,2026-06-05 16:15:25.856,0.740,83.310
60.000,2026-06-05 16:15:26.351,0.740,83.310
60.000,2026-06-05 16:15:26.850,0.740,83.310
60.000,2026-06-05 16:15:27.358,0.740,83.300
60.000,2026-06-05 16:15:27.849,0.730,83.300
60.000,2026-06-05 16:15:28.346,0.730,83.310
60.000,2026-06-05 16:15:28.856,0.730,83.310
60.000,2026-06-05 16:15:29.351,0.730,83.310
60.000,2026-06-05 16:15:29.848,0.730,83.310
60.000,2026-06-05 16:15:30.356,0.740,83.310
60.000,2026-06-05 16:15:30.855,0.740,83.310
60.000,2026-06-05 16:15:31.350,0.740,83.300
60.000,2026-06-05 16:15:31.859,0.740,83.300
60.000,2026-06-05 16:15:32.355,0.730,83.310
60.000,2026-06-05 16:15:32.855,0.730,83.310
60.000,2026-06-05 16:15:33.349,0.730,83.310
60.000,2026-06-05 16:15:33.860,0.730,83.310
60.000,2026-06-05 16:15:34.353,0.740,83.300
60.000,2026-06-05 16:15:34.856,0.740,83.300
60.000,2026-06-05 16:15:35.364,0.730,83.300
60.000,2026-06-05 16:15:35.864,0.730,83.300
60.000,2026-06-05 16:15:36.363,0.730,83.310
60.000,2026-06-05 16:15:36.861,0.730,83.310
60.000,2026-06-05 16:15:37.371,0.730,83.300
60.000,2026-06-05 16:15:37.857,0.730,83.310
60.000,2026-06-05 16:15:38.354,0.740,83.310
60.000,2026-06-05 16:15:38.853,0.740,83.310
60.000,2026-06-05 16:15:39.353,0.740,83.310
60.000,2026-06-05 16:15:39.863,0.740,83.310
60.000,2026-06-05 16:15:40.362,0.740,83.300
60.000,2026-06-05 16:15:40.860,0.740,83.300
60.000,2026-06-05 16:15:41.366,0.730,83.300
60.000,2026-06-05 16:15:41.863,0.730,83.310
60.000,2026-06-05 16:15:42.354,0.730,83.310
60.000,2026-06-05 16:15:42.865,0.730,83.310
60.000,2026-06-05 16:15:43.362,0.730,83.310
60.000,2026-06-05 16:15:43.861,0.730,83.310
60.000,2026-06-05 16:15:44.359,0.730,83.310
60.000,2026-06-05 16:15:44.867,0.730,83.310
60.000,2026-06-05 16:15:45.359,0.740,83.310
60.000,2026-06-05 16:15:45.620,0.740,83.310
90.000,2026-06-05 16:16:03.224,0.730,83.330
90.000,2026-06-05 16:16:03.735,0.730,83.330
90.000,2026-06-05 16:16:04.234,0.730,83.330
90.000,2026-06-05 16:16:04.733,0.730,83.330
90.000,2026-06-05 16:16:05.229,0.730,83.330
90.000,2026-06-05 16:16:05.728,0.730,83.330
90.000,2026-06-05 16:16:06.240,0.730,83.330
90.000,2026-06-05 16:16:06.736,0.730,83.330
90.000,2026-06-05 16:16:07.236,0.730,83.330
90.000,2026-06-05 16:16:07.728,0.730,83.330
90.000,2026-06-05 16:16:08.227,0.730,83.330
90.000,2026-06-05 16:16:08.742,0.730,83.330
90.000,2026-06-05 16:16:09.241,0.730,83.330
90.000,2026-06-05 16:16:09.738,0.720,83.330
90.000,2026-06-05 16:16:10.238,0.720,83.330
90.000,2026-06-05 16:16:10.737,0.730,83.330
90.000,2026-06-05 16:16:11.233,0.730,83.330
90.000,2026-06-05 16:16:11.733,0.730,83.330
90.000,2026-06-05 16:16:12.244,0.730,83.330
90.000,2026-06-05 16:16:12.738,0.730,83.330
90.000,2026-06-05 16:16:13.238,0.730,83.330
90.000,2026-06-05 16:16:13.745,0.730,83.330
90.000,2026-06-05 16:16:14.240,0.720,83.330
90.000,2026-06-05 16:16:14.737,0.720,83.330
90.000,2026-06-05 16:16:15.234,0.730,83.330
90.000,2026-06-05 16:16:15.746,0.730,83.330
90.000,2026-06-05 16:16:16.242,0.720,83.330
90.000,2026-06-05 16:16:16.741,0.720,83.330
90.000,2026-06-05 16:16:17.242,0.730,83.330
90.000,2026-06-05 16:16:17.739,0.730,83.330
90.000,2026-06-05 16:16:18.237,0.730,83.330
90.000,2026-06-05 16:16:18.749,0.720,83.330
90.000,2026-06-05 16:16:19.244,0.720,83.330
90.000,2026-06-05 16:16:19.743,0.720,83.330
90.000,2026-06-05 16:16:20.239,0.720,83.330
90.000,2026-06-05 16:16:20.738,0.720,83.330
90.000,2026-06-05 16:16:21.241,0.720,83.330
90.000,2026-06-05 16:16:21.750,0.730,83.330
90.000,2026-06-05 16:16:22.248,0.730,83.330
90.000,2026-06-05 16:16:22.748,0.730,83.330
90.000,2026-06-05 16:16:23.009,0.730,83.330
120.000,2026-06-05 16:16:48.455,0.700,83.350
120.000,2026-06-05 16:16:48.957,0.690,83.350
120.000,2026-06-05 16:16:49.449,0.690,83.350
120.000,2026-06-05 16:16:49.946,0.700,83.350
120.000,2026-06-05 16:16:50.445,0.700,83.350
120.000,2026-06-05 16:16:50.958,0.690,83.350
120.000,2026-06-05 16:16:51.456,0.700,83.340
120.000,2026-06-05 16:16:51.951,0.700,83.340
120.000,2026-06-05 16:16:52.449,0.700,83.340
120.000,2026-06-05 16:16:52.948,0.690,83.340
120.000,2026-06-05 16:16:53.462,0.700,83.350
120.000,2026-06-05 16:16:53.960,0.700,83.350
120.000,2026-06-05 16:16:54.459,0.700,83.350
120.000,2026-06-05 16:16:54.957,0.700,83.340
120.000,2026-06-05 16:16:55.453,0.700,83.340
120.000,2026-06-05 16:16:55.964,0.700,83.350
120.000,2026-06-05 16:16:56.461,0.700,83.350
120.000,2026-06-05 16:16:56.960,0.700,83.350
120.000,2026-06-05 16:16:57.458,0.700,83.350
120.000,2026-06-05 16:16:57.967,0.700,83.350
120.000,2026-06-05 16:16:58.462,0.700,83.340
120.000,2026-06-05 16:16:58.960,0.700,83.340
120.000,2026-06-05 16:16:59.458,0.700,83.350
120.000,2026-06-05 16:16:59.957,0.700,83.350
120.000,2026-06-05 16:17:00.454,0.700,83.350
120.000,2026-06-05 16:17:00.968,0.700,83.350
120.000,2026-06-05 16:17:01.455,0.700,83.340
120.000,2026-06-05 16:17:01.968,0.700,83.340
120.000,2026-06-05 16:17:02.467,0.700,83.340
120.000,2026-06-05 16:17:02.962,0.700,83.350
120.000,2026-06-05 16:17:03.462,0.700,83.350
120.000,2026-06-05 16:17:03.961,0.700,83.350
120.000,2026-06-05 16:17:04.460,0.700,83.350
120.000,2026-06-05 16:17:04.967,0.700,83.340
120.000,2026-06-05 16:17:05.471,0.700,83.340
120.000,2026-06-05 16:17:05.970,0.700,83.350
120.000,2026-06-05 16:17:06.472,0.700,83.350
120.000,2026-06-05 16:17:06.964,0.700,83.350
120.000,2026-06-05 16:17:07.460,0.700,83.340
120.000,2026-06-05 16:17:07.970,0.700,83.340
120.000,2026-06-05 16:17:08.232,0.700,83.340
150.000,2026-06-05 16:17:29.553,0.670,83.350
150.000,2026-06-05 16:17:30.046,0.670,83.340
150.000,2026-06-05 16:17:30.558,0.670,83.350
150.000,2026-06-05 16:17:31.058,0.670,83.350
150.000,2026-06-05 16:17:31.552,0.670,83.350
150.000,2026-06-05 16:17:32.072,0.670,83.350
150.000,2026-06-05 16:17:32.557,0.670,83.350
150.000,2026-06-05 16:17:33.054,0.670,83.350
150.000,2026-06-05 16:17:33.551,0.670,83.340
150.000,2026-06-05 16:17:34.051,0.670,83.340
150.000,2026-06-05 16:17:34.548,0.670,83.350
150.000,2026-06-05 16:17:35.059,0.670,83.350
150.000,2026-06-05 16:17:35.561,0.670,83.350
150.000,2026-06-05 16:17:36.061,0.670,83.350
150.000,2026-06-05 16:17:36.558,0.670,83.350
150.000,2026-06-05 16:17:37.053,0.670,83.350
150.000,2026-06-05 16:17:37.549,0.670,83.340
150.000,2026-06-05 16:17:38.064,0.670,83.350
150.000,2026-06-05 16:17:38.559,0.670,83.350
150.000,2026-06-05 16:17:39.054,0.670,83.350
150.000,2026-06-05 16:17:39.567,0.670,83.350
150.000,2026-06-05 16:17:40.066,0.670,83.350
150.000,2026-06-05 16:17:40.564,0.670,83.350
150.000,2026-06-05 16:17:41.059,0.670,83.340
150.000,2026-06-05 16:17:41.555,0.670,83.340
150.000,2026-06-05 16:17:42.068,0.670,83.350
150.000,2026-06-05 16:17:42.569,0.670,83.350
150.000,2026-06-05 16:17:43.065,0.660,83.350
150.000,2026-06-05 16:17:43.563,0.670,83.340
150.000,2026-06-05 16:17:44.061,0.670,83.340
150.000,2026-06-05 16:17:44.555,0.670,83.350
150.000,2026-06-05 16:17:45.064,0.670,83.350
150.000,2026-06-05 16:17:45.565,0.670,83.350
150.000,2026-06-05 16:17:46.067,0.670,83.350
150.000,2026-06-05 16:17:46.562,0.670,83.350
150.000,2026-06-05 16:17:47.062,0.670,83.350
150.000,2026-06-05 16:17:47.562,0.670,83.350
150.000,2026-06-05 16:17:48.061,0.670,83.350
150.000,2026-06-05 16:17:48.559,0.670,83.340
150.000,2026-06-05 16:17:49.072,0.670,83.340
150.000,2026-06-05 16:17:49.336,0.670,83.340
180.000,2026-06-05 16:18:12.039,0.640,83.330
180.000,2026-06-05 16:18:12.551,0.640,83.330
180.000,2026-06-05 16:18:13.036,0.640,83.330
180.000,2026-06-05 16:18:13.545,0.640,83.330
180.000,2026-06-05 16:18:14.037,0.640,83.330
180.000,2026-06-05 16:18:14.543,0.640,83.330
180.000,2026-06-05 16:18:15.039,0.640,83.330
180.000,2026-06-05 16:18:15.551,0.640,83.330
180.000,2026-06-05 16:18:16.051,0.640,83.330
180.000,2026-06-05 16:18:16.550,0.640,83.330
180.000,2026-06-05 16:18:17.049,0.640,83.330
180.000,2026-06-05 16:18:17.547,0.640,83.330
180.000,2026-06-05 16:18:18.044,0.640,83.330
180.000,2026-06-05 16:18:18.540,0.640,83.330
180.000,2026-06-05 16:18:19.051,0.640,83.330
180.000,2026-06-05 16:18:19.554,0.640,83.330
180.000,2026-06-05 16:18:20.056,0.640,83.330
180.000,2026-06-05 16:18:20.546,0.640,83.330
180.000,2026-06-05 16:18:21.045,0.640,83.330
180.000,2026-06-05 16:18:21.553,0.640,83.330
180.000,2026-06-05 16:18:22.053,0.640,83.330
180.000,2026-06-05 16:18:22.551,0.640,83.330
180.000,2026-06-05 16:18:23.049,0.640,83.330
180.000,2026-06-05 16:18:23.554,0.640,83.330
180.000,2026-06-05 16:18:24.049,0.640,83.330
180.000,2026-06-05 16:18:24.546,0.640,83.330
180.000,2026-06-05 16:18:25.059,0.640,83.330
180.000,2026-06-05 16:18:25.556,0.640,83.330
180.000,2026-06-05 16:18:26.053,0.640,83.330
180.000,2026-06-05 16:18:26.554,0.640,83.330
180.000,2026-06-05 16:18:27.059,0.640,83.330
180.000,2026-06-05 16:18:27.555,0.640,83.330
180.000,2026-06-05 16:18:28.051,0.640,83.330
180.000,2026-06-05 16:18:28.556,0.640,83.330
180.000,2026-06-05 16:18:29.051,0.640,83.330
180.000,2026-06-05 16:18:29.564,0.640,83.330
180.000,2026-06-05 16:18:30.062,0.640,83.330
180.000,2026-06-05 16:18:30.558,0.640,83.330
180.000,2026-06-05 16:18:31.056,0.640,83.330
180.000,2026-06-05 16:18:31.556,0.640,83.330
180.000,2026-06-05 16:18:31.828,0.640,83.330
-30.000,2026-06-05 16:19:32.197,0.700,83.250
-30.000,2026-06-05 16:19:32.694,0.700,83.250
-30.000,2026-06-05 16:19:33.191,0.710,83.250
-30.000,2026-06-05 16:19:33.685,0.710,83.250
-30.000,2026-06-05 16:19:34.199,0.700,83.250
-30.000,2026-06-05 16:19:34.695,0.710,83.250
-30.000,2026-06-05 16:19:35.190,0.710,83.250
-30.000,2026-06-05 16:19:35.692,0.710,83.240
-30.000,2026-06-05 16:19:36.192,0.700,83.250
-30.000,2026-06-05 16:19:36.702,0.710,83.240
-30.000,2026-06-05 16:19:37.199,0.710,83.240
-30.000,2026-06-05 16:19:37.697,0.700,83.240
-30.000,2026-06-05 16:19:38.192,0.700,83.250
-30.000,2026-06-05 16:19:38.702,0.700,83.250
-30.000,2026-06-05 16:19:39.199,0.700,83.250
-30.000,2026-06-05 16:19:39.694,0.710,83.250
-30.000,2026-06-05 16:19:40.190,0.710,83.240
-30.000,2026-06-05 16:19:40.692,0.710,83.240
-30.000,2026-06-05 16:19:41.203,0.710,83.240
-30.000,2026-06-05 16:19:41.698,0.700,83.240
-30.000,2026-06-05 16:19:42.192,0.700,83.240
-30.000,2026-06-05 16:19:42.699,0.700,83.240
-30.000,2026-06-05 16:19:43.199,0.700,83.240
-30.000,2026-06-05 16:19:43.695,0.710,83.240
-30.000,2026-06-05 16:19:44.204,0.700,83.240
-30.000,2026-06-05 16:19:44.701,0.700,83.240
-30.000,2026-06-05 16:19:45.196,0.700,83.240
-30.000,2026-06-05 16:19:45.697,0.700,83.240
-30.000,2026-06-05 16:19:46.208,0.700,83.240
-30.000,2026-06-05 16:19:46.704,0.700,83.250
-30.000,2026-06-05 16:19:47.201,0.700,83.250
-30.000,2026-06-05 16:19:47.709,0.700,83.250
-30.000,2026-06-05 16:19:48.197,0.710,83.250
-30.000,2026-06-05 16:19:48.696,0.710,83.240
-30.000,2026-06-05 16:19:49.207,0.700,83.240
-30.000,2026-06-05 16:19:49.704,0.700,83.240
-30.000,2026-06-05 16:19:50.204,0.700,83.250
-30.000,2026-06-05 16:19:50.702,0.700,83.250
-30.000,2026-06-05 16:19:51.198,0.710,83.250
-30.000,2026-06-05 16:19:51.698,0.710,83.250
-30.000,2026-06-05 16:19:51.962,0.700,83.250
-60.000,2026-06-05 16:20:13.536,0.680,83.250
-60.000,2026-06-05 16:20:14.033,0.680,83.240
-60.000,2026-06-05 16:20:14.533,0.680,83.250
-60.000,2026-06-05 16:20:15.031,0.680,83.250
-60.000,2026-06-05 16:20:15.527,0.680,83.240
-60.000,2026-06-05 16:20:16.038,0.680,83.240
-60.000,2026-06-05 16:20:16.536,0.680,83.240
-60.000,2026-06-05 16:20:17.031,0.680,83.250
-60.000,2026-06-05 16:20:17.532,0.680,83.250
-60.000,2026-06-05 16:20:18.031,0.680,83.250
-60.000,2026-06-05 16:20:18.541,0.680,83.240
-60.000,2026-06-05 16:20:19.039,0.680,83.240
-60.000,2026-06-05 16:20:19.537,0.680,83.250
-60.000,2026-06-05 16:20:20.039,0.680,83.250
-60.000,2026-06-05 16:20:20.531,0.680,83.250
-60.000,2026-06-05 16:20:21.040,0.680,83.250
-60.000,2026-06-05 16:20:21.534,0.680,83.250
-60.000,2026-06-05 16:20:22.031,0.680,83.250
-60.000,2026-06-05 16:20:22.543,0.680,83.250
-60.000,2026-06-05 16:20:23.040,0.680,83.250
-60.000,2026-06-05 16:20:23.539,0.680,83.240
-60.000,2026-06-05 16:20:24.036,0.690,83.240
-60.000,2026-06-05 16:20:24.535,0.690,83.250
-60.000,2026-06-05 16:20:25.045,0.680,83.250
-60.000,2026-06-05 16:20:25.546,0.680,83.250
-60.000,2026-06-05 16:20:26.045,0.680,83.250
-60.000,2026-06-05 16:20:26.541,0.680,83.250
-60.000,2026-06-05 16:20:27.042,0.680,83.250
-60.000,2026-06-05 16:20:27.538,0.680,83.250
-60.000,2026-06-05 16:20:28.048,0.680,83.250
-60.000,2026-06-05 16:20:28.546,0.680,83.240
-60.000,2026-06-05 16:20:29.049,0.680,83.250
-60.000,2026-06-05 16:20:29.549,0.680,83.250
-60.000,2026-06-05 16:20:30.045,0.680,83.250
-60.000,2026-06-05 16:20:30.543,0.680,83.250
-60.000,2026-06-05 16:20:31.042,0.680,83.250
-60.000,2026-06-05 16:20:31.543,0.680,83.250
-60.000,2026-06-05 16:20:32.039,0.680,83.250
-60.000,2026-06-05 16:20:32.549,0.680,83.240
-60.000,2026-06-05 16:20:33.048,0.680,83.240
-60.000,2026-06-05 16:20:33.312,0.680,83.240
-90.000,2026-06-05 16:20:52.152,0.660,83.250
-90.000,2026-06-05 16:20:52.653,0.660,83.260
-90.000,2026-06-05 16:20:53.164,0.660,83.260
-90.000,2026-06-05 16:20:53.656,0.660,83.250
-90.000,2026-06-05 16:20:54.156,0.660,83.250
-90.000,2026-06-05 16:20:54.669,0.660,83.250
-90.000,2026-06-05 16:20:55.163,0.660,83.250
-90.000,2026-06-05 16:20:55.658,0.660,83.250
-90.000,2026-06-05 16:20:56.168,0.660,83.260
-90.000,2026-06-05 16:20:56.665,0.660,83.260
-90.000,2026-06-05 16:20:57.157,0.660,83.250
-90.000,2026-06-05 16:20:57.668,0.660,83.250
-90.000,2026-06-05 16:20:58.167,0.660,83.250
-90.000,2026-06-05 16:20:58.660,0.660,83.260
-90.000,2026-06-05 16:20:59.160,0.660,83.250
-90.000,2026-06-05 16:20:59.669,0.660,83.250
-90.000,2026-06-05 16:21:00.159,0.660,83.250
-90.000,2026-06-05 16:21:00.660,0.660,83.260
-90.000,2026-06-05 16:21:01.168,0.660,83.260
-90.000,2026-06-05 16:21:01.664,0.660,83.260
-90.000,2026-06-05 16:21:02.165,0.660,83.260
-90.000,2026-06-05 16:21:02.661,0.660,83.260
-90.000,2026-06-05 16:21:03.172,0.660,83.260
-90.000,2026-06-05 16:21:03.669,0.660,83.260
-90.000,2026-06-05 16:21:04.166,0.660,83.260
-90.000,2026-06-05 16:21:04.664,0.660,83.260
-90.000,2026-06-05 16:21:05.173,0.660,83.260
-90.000,2026-06-05 16:21:05.670,0.660,83.260
-90.000,2026-06-05 16:21:06.167,0.660,83.260
-90.000,2026-06-05 16:21:06.662,0.660,83.260
-90.000,2026-06-05 16:21:07.175,0.660,83.260
-90.000,2026-06-05 16:21:07.672,0.660,83.260
-90.000,2026-06-05 16:21:08.169,0.660,83.260
-90.000,2026-06-05 16:21:08.668,0.660,83.260
-90.000,2026-06-05 16:21:09.177,0.660,83.260
-90.000,2026-06-05 16:21:09.673,0.660,83.260
-90.000,2026-06-05 16:21:10.165,0.660,83.260
-90.000,2026-06-05 16:21:10.678,0.660,83.260
-90.000,2026-06-05 16:21:11.176,0.660,83.260
-90.000,2026-06-05 16:21:11.676,0.660,83.260
-90.000,2026-06-05 16:21:11.948,0.660,83.260
-120.000,2026-06-05 16:21:28.416,0.630,83.270
-120.000,2026-06-05 16:21:28.924,0.640,83.270
-120.000,2026-06-05 16:21:29.423,0.640,83.280
-120.000,2026-06-05 16:21:29.922,0.640,83.280
-120.000,2026-06-05 16:21:30.434,0.630,83.280
-120.000,2026-06-05 16:21:30.925,0.630,83.280
-120.000,2026-06-05 16:21:31.421,0.630,83.280
-120.000,2026-06-05 16:21:31.928,0.630,83.280
-120.000,2026-06-05 16:21:32.429,0.630,83.280
-120.000,2026-06-05 16:21:32.921,0.630,83.280
-120.000,2026-06-05 16:21:33.418,0.630,83.270
-120.000,2026-06-05 16:21:33.933,0.630,83.270
-120.000,2026-06-05 16:21:34.420,0.640,83.270
-120.000,2026-06-05 16:21:34.931,0.640,83.280
-120.000,2026-06-05 16:21:35.431,0.640,83.280
-120.000,2026-06-05 16:21:35.923,0.630,83.280
-120.000,2026-06-05 16:21:36.419,0.630,83.280
-120.000,2026-06-05 16:21:36.924,0.630,83.280
-120.000,2026-06-05 16:21:37.433,0.630,83.270
-120.000,2026-06-05 16:21:37.928,0.640,83.280
-120.000,2026-06-05 16:21:38.423,0.640,83.280
-120.000,2026-06-05 16:21:38.921,0.630,83.280
-120.000,2026-06-05 16:21:39.432,0.630,83.280
-120.000,2026-06-05 16:21:39.930,0.640,83.280
-120.000,2026-06-05 16:21:40.423,0.630,83.280
-120.000,2026-06-05 16:21:40.930,0.630,83.280
-120.000,2026-06-05 16:21:41.429,0.630,83.280
-120.000,2026-06-05 16:21:41.931,0.630,83.280
-120.000,2026-06-05 16:21:42.429,0.630,83.280
-120.000,2026-06-05 16:21:42.941,0.630,83.280
-120.000,2026-06-05 16:21:43.433,0.630,83.280
-120.000,2026-06-05 16:21:43.931,0.630,83.280
-120.000,2026-06-05 16:21:44.437,0.630,83.280
-120.000,2026-06-05 16:21:44.931,0.630,83.280
-120.000,2026-06-05 16:21:45.429,0.630,83.280
-120.000,2026-06-05 16:21:45.926,0.630,83.280
-120.000,2026-06-05 16:21:46.426,0.630,83.280
-120.000,2026-06-05 16:21:46.936,0.630,83.280
-120.000,2026-06-05 16:21:47.429,0.630,83.280
-120.000,2026-06-05 16:21:47.942,0.630,83.270
-120.000,2026-06-05 16:21:48.201,0.630,83.280
-150.000,2026-06-05 16:22:07.994,0.630,83.300
-150.000,2026-06-05 16:22:08.506,0.630,83.300
-150.000,2026-06-05 16:22:09.002,0.630,83.310
-150.000,2026-06-05 16:22:09.496,0.630,83.310
-150.000,2026-06-05 16:22:10.006,0.630,83.300
-150.000,2026-06-05 16:22:10.504,0.630,83.310
-150.000,2026-06-05 16:22:10.995,0.630,83.310
-150.000,2026-06-05 16:22:11.505,0.630,83.310
-150.000,2026-06-05 16:22:12.011,0.630,83.310
-150.000,2026-06-05 16:22:12.509,0.630,83.300
-150.000,2026-06-05 16:22:13.007,0.630,83.300
-150.000,2026-06-05 16:22:13.505,0.630,83.300
-150.000,2026-06-05 16:22:14.002,0.630,83.300
-150.000,2026-06-05 16:22:14.511,0.630,83.300
-150.000,2026-06-05 16:22:15.005,0.630,83.300
-150.000,2026-06-05 16:22:15.504,0.630,83.300
-150.000,2026-06-05 16:22:15.999,0.630,83.310
-150.000,2026-06-05 16:22:16.511,0.630,83.300
-150.000,2026-06-05 16:22:17.007,0.630,83.300
-150.000,2026-06-05 16:22:17.507,0.630,83.310
-150.000,2026-06-05 16:22:18.002,0.630,83.300
-150.000,2026-06-05 16:22:18.502,0.630,83.300
-150.000,2026-06-05 16:22:19.014,0.630,83.300
-150.000,2026-06-05 16:22:19.511,0.630,83.310
-150.000,2026-06-05 16:22:20.011,0.630,83.300
-150.000,2026-06-05 16:22:20.505,0.630,83.310
-150.000,2026-06-05 16:22:21.013,0.630,83.310
-150.000,2026-06-05 16:22:21.512,0.630,83.310
-150.000,2026-06-05 16:22:22.010,0.630,83.310
-150.000,2026-06-05 16:22:22.509,0.630,83.300
-150.000,2026-06-05 16:22:23.004,0.630,83.300
-150.000,2026-06-05 16:22:23.520,0.630,83.300
-150.000,2026-06-05 16:22:24.010,0.630,83.300
-150.000,2026-06-05 16:22:24.518,0.630,83.300
-150.000,2026-06-05 16:22:25.020,0.630,83.310
-150.000,2026-06-05 16:22:25.518,0.630,83.310
-150.000,2026-06-05 16:22:26.014,0.630,83.310
-150.000,2026-06-05 16:22:26.522,0.630,83.310
-150.000,2026-06-05 16:22:27.009,0.630,83.310
-150.000,2026-06-05 16:22:27.519,0.630,83.300
-150.000,2026-06-05 16:22:27.782,0.630,83.300

--- 各方位角汇总 ---
方位角(度),条数,X平均值(度),Y平均值(度),开始时间,结束时间
0.000,41,0.720,83.260,2026-06-05 16:14:04,2026-06-05 16:14:24
30.000,41,0.730,83.280,2026-06-05 16:14:50,2026-06-05 16:15:10
60.000,41,0.734,83.307,2026-06-05 16:15:25,2026-06-05 16:15:45
90.000,41,0.727,83.330,2026-06-05 16:16:02,2026-06-05 16:16:23
120.000,41,0.699,83.346,2026-06-05 16:16:48,2026-06-05 16:17:08
150.000,41,0.670,83.347,2026-06-05 16:17:29,2026-06-05 16:17:49
180.000,41,0.640,83.330,2026-06-05 16:18:11,2026-06-05 16:18:31
-30.000,41,0.704,83.245,2026-06-05 16:19:31,2026-06-05 16:19:51
-60.000,41,0.680,83.247,2026-06-05 16:20:13,2026-06-05 16:20:33
-90.000,41,0.660,83.257,2026-06-05 16:20:51,2026-06-05 16:21:11
