方位角(度),时间,X(度),Y(度)
180.000,2026-06-05 17:41:53.292,0.640,83.340
180.000,2026-06-05 17:41:53.791,0.640,83.340
180.000,2026-06-05 17:41:54.290,0.640,83.340
180.000,2026-06-05 17:41:54.789,0.640,83.340
180.000,2026-06-05 17:41:55.288,0.640,83.340
180.000,2026-06-05 17:41:55.787,0.640,83.340
180.000,2026-06-05 17:41:56.285,0.640,83.340
180.000,2026-06-05 17:41:56.785,0.640,83.330
180.000,2026-06-05 17:41:57.284,0.640,83.340
180.000,2026-06-05 17:41:57.795,0.640,83.340
180.000,2026-06-05 17:41:58.294,0.640,83.340
180.000,2026-06-05 17:41:58.782,0.640,83.340
180.000,2026-06-05 17:41:59.294,0.640,83.340
180.000,2026-06-05 17:41:59.790,0.640,83.340
180.000,2026-06-05 17:42:00.293,0.640,83.340
180.000,2026-06-05 17:42:00.790,0.640,83.340
180.000,2026-06-05 17:42:01.292,0.640,83.340
180.000,2026-06-05 17:42:01.788,0.640,83.340
180.000,2026-06-05 17:42:02.290,0.640,83.340
180.000,2026-06-05 17:42:02.789,0.640,83.340
180.000,2026-06-05 17:42:03.056,0.640,83.340

--- 各方位角汇总 ---
方位角(度),条数,X平均值(度),Y平均值(度),开始时间,结束时间
-180.000,21,0.640,83.340,2026-06-05 17:35:08,2026-06-05 17:35:18
-165.000,21,0.630,83.328,2026-06-05 17:35:25,2026-06-05 17:35:35
-150.000,21,0.630,83.311,2026-06-05 17:35:42,2026-06-05 17:35:52
-135.000,21,0.627,83.300,2026-06-05 17:35:59,2026-06-05 17:36:09
-120.000,21,0.630,83.285,2026-06-05 17:36:16,2026-06-05 17:36:26
-105.000,21,0.646,83.274,2026-06-05 17:36:33,2026-06-05 17:36:43
-90.000,21,0.660,83.264,2026-06-05 17:36:50,2026-06-05 17:37:00
-75.000,21,0.669,83.259,2026-06-05 17:37:06,2026-06-05 17:37:16
-60.000,21,0.680,83.250,2026-06-05 17:37:23,2026-06-05 17:37:33
-45.000,21,0.690,83.250,2026-06-05 17:37:40,2026-06-05 17:37:50
-30.000,21,0.700,83.250,2026-06-05 17:37:57,2026-06-05 17:38:07
-15.000,21,0.710,83.258,2026-06-05 17:38:14,2026-06-05 17:38:24
0.000,21,0.720,83.266,2026-06-05 17:38:31,2026-06-05 17:38:41
15.000,21,0.729,83.270,2026-06-05 17:38:47,2026-06-05 17:38:57
30.000,21,0.730,83.283,2026-06-05 17:39:04,2026-06-05 17:39:14
45.000,21,0.730,83.300,2026-06-05 17:39:21,2026-06-05 17:39:31
60.000,21,0.735,83.310,2026-06-05 17:39:38,2026-06-05 17:39:48
75.000,21,0.730,83.322,2026-06-05 17:39:55,2026-06-05 17:40:05
90.000,21,0.729,83.336,2026-06-05 17:40:11,2026-06-05 17:40:21
105.000,21,0.711,83.347,2026-06-05 17:40:28,2026-06-05 17:40:38
120.000,21,0.699,83.350,2026-06-05 17:40:45,2026-06-05 17:40:55
135.000,21,0.680,83.351,2026-06-05 17:41:02,2026-06-05 17:41:12
150.000,21,0.668,83.351,2026-06-05 17:41:19,2026-06-05 17:41:29
165.000,21,0.650,83.349,2026-06-05 17:41:36,2026-06-05 17:41:46
180.000,21,0.640,83.340,2026-06-05 17:41:53,2026-06-05 17:42:03
