方位角(度),时间,X(度),Y(度)
-105.000,2026-06-05 17:36:37.566,0.640,83.270
-105.000,2026-06-05 17:36:38.061,0.650,83.280
-105.000,2026-06-05 17:36:38.557,0.650,83.280
-105.000,2026-06-05 17:36:39.066,0.650,83.280
-105.000,2026-06-05 17:36:39.562,0.650,83.280
-105.000,2026-06-05 17:36:40.059,0.640,83.280
-105.000,2026-06-05 17:36:40.565,0.640,83.280
-105.000,2026-06-05 17:36:41.059,0.650,83.280
-105.000,2026-06-05 17:36:41.553,0.640,83.280
-105.000,2026-06-05 17:36:42.064,0.640,83.270
-105.000,2026-06-05 17:36:42.561,0.650,83.270
-105.000,2026-06-05 17:36:43.058,0.650,83.270
-105.000,2026-06-05 17:36:43.324,0.650,83.270
-90.000,2026-06-05 17:36:50.558,0.660,83.270
-90.000,2026-06-05 17:36:51.052,0.660,83.270
-90.000,2026-06-05 17:36:51.560,0.660,83.270
-90.000,2026-06-05 17:36:52.053,0.660,83.260
-90.000,2026-06-05 17:36:52.564,0.660,83.260
-90.000,2026-06-05 17:36:53.058,0.660,83.270
-90.000,2026-06-05 17:36:53.555,0.660,83.270
-90.000,2026-06-05 17:36:54.066,0.660,83.270
-90.000,2026-06-05 17:36:54.567,0.660,83.260
-90.000,2026-06-05 17:36:55.064,0.660,83.260
-90.000,2026-06-05 17:36:55.566,0.660,83.260
-90.000,2026-06-05 17:36:56.062,0.660,83.260
-90.000,2026-06-05 17:36:56.558,0.660,83.260
-90.000,2026-06-05 17:36:57.070,0.660,83.260
-90.000,2026-06-05 17:36:57.566,0.660,83.260
-90.000,2026-06-05 17:36:58.059,0.660,83.260
-90.000,2026-06-05 17:36:58.567,0.660,83.270
-90.000,2026-06-05 17:36:59.060,0.660,83.270
-90.000,2026-06-05 17:36:59.559,0.660,83.260
-90.000,2026-06-05 17:37:00.071,0.660,83.260
-90.000,2026-06-05 17:37:00.333,0.660,83.260
-75.000,2026-06-05 17:37:07.215,0.670,83.260
-75.000,2026-06-05 17:37:07.709,0.670,83.250
-75.000,2026-06-05 17:37:08.203,0.670,83.250
-75.000,2026-06-05 17:37:08.712,0.670,83.260
